time,temperature_2m,relative_humidity_2m,wind_speed_10m
2023-09-06 17:00:00,30.5,42,4.9
2023-09-06 18:00:00,29.6,46,6.5
2023-09-06 19:00:00,28.5,52,6.2
2023-09-06 20:00:00,26.5,57,6.8
2023-09-06 21:00:00,25.4,62,5.8
2023-09-06 22:00:00,24.2,66,4.4
2023-09-06 23:00:00,23.1,70,5.9
2023-09-07 00:00:00,22.6,71,7.4
2023-09-07 01:00:00,22.7,70,7.1
2023-09-07 02:00:00,22.4,73,4.8
2023-09-07 03:00:00,21.9,79,3.7
2023-09-07 04:00:00,21.8,82,5.4
2023-09-07 05:00:00,21.9,77,4.7
2023-09-07 06:00:00,22.3,69,3.9
2023-09-07 07:00:00,21.4,79,5.1
2023-09-07 08:00:00,22.4,72,4.8
2023-09-07 09:00:00,24.5,63,4.2
2023-09-07 10:00:00,26.0,65,5.1
2023-09-07 11:00:00,27.5,60,3.0
2023-09-07 12:00:00,29.0,53,8.2
2023-09-07 13:00:00,30.6,48,9.4
2023-09-07 14:00:00,31.0,45,9.8
2023-09-07 15:00:00,31.4,44,11.8
2023-09-07 16:00:00,30.5,47,11.7
2023-09-07 17:00:00,30.3,47,13.1
2023-09-07 18:00:00,29.2,53,13.7
2023-09-07 19:00:00,27.5,65,12.2
2023-09-07 20:00:00,25.8,71,10.6
2023-09-07 21:00:00,24.8,75,8.7
2023-09-07 22:00:00,23.9,79,6.6
2023-09-07 23:00:00,23.1,83,6.1
2023-09-08 00:00:00,22.5,86,5.9
2023-09-08 01:00:00,21.1,86,5.7
2023-09-08 02:00:00,20.9,85,3.9
2023-09-08 03:00:00,20.2,88,3.7
2023-09-08 04:00:00,19.8,92,2.3
2023-09-08 05:00:00,19.6,95,2.7
2023-09-08 06:00:00,19.7,93,0.8
2023-09-08 07:00:00,19.0,97,1.8
2023-09-08 08:00:00,20.2,92,4.2
2023-09-08 09:00:00,22.7,73,4.2
2023-09-08 10:00:00,25.0,63,5.6
2023-09-08 11:00:00,27.0,55,2.6
2023-09-08 12:00:00,28.5,48,3.1
2023-09-08 13:00:00,29.8,44,8.9
2023-09-08 14:00:00,30.0,44,9.4
2023-09-08 15:00:00,30.6,43,11.2
2023-09-08 16:00:00,30.9,44,10.2
2023-09-08 17:00:00,30.7,45,11.2
2023-09-08 18:00:00,29.6,49,13.8
2023-09-08 19:00:00,27.3,59,14.1
2023-09-08 20:00:00,25.4,65,11.8
2023-09-08 21:00:00,24.1,70,9.5
2023-09-08 22:00:00,23.0,79,7.7
2023-09-08 23:00:00,22.1,85,9.5
2023-09-09 00:00:00,21.6,89,10.1
2023-09-09 01:00:00,21.5,88,7.6
2023-09-09 02:00:00,21.4,89,6.1
2023-09-09 03:00:00,20.9,92,2.9
2023-09-09 04:00:00,20.9,90,1.5
2023-09-09 05:00:00,20.4,93,1.8
2023-09-09 06:00:00,20.8,92,3.0
2023-09-09 07:00:00,20.6,93,4.1
2023-09-09 08:00:00,21.4,89,3.5
2023-09-09 09:00:00,22.9,81,3.2
2023-09-09 10:00:00,24.5,71,4.9
2023-09-09 11:00:00,26.4,60,8.7
2023-09-09 12:00:00,28.0,52,10.2
2023-09-09 13:00:00,29.0,47,11.5
2023-09-09 14:00:00,29.5,44,13.0
2023-09-09 15:00:00,30.0,41,14.4
2023-09-09 16:00:00,29.5,42,17.5
2023-09-09 17:00:00,28.8,41,16.1
2023-09-09 18:00:00,27.9,42,13.9
