epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,421,,,,,0.9763333201408386,0.07813306897878647
0,421,,,0.8534629344940186,0.43360304832458496,,
1,843,,,,,0.9851666688919067,0.04467284679412842
1,843,,,0.9670185446739197,0.10856284946203232,,
2,1265,,,,,0.9884999990463257,0.04178148880600929
2,1265,,,0.9752407670021057,0.08060603588819504,,
3,1687,,,,,0.9901666641235352,0.03180811554193497
3,1687,,,0.9798703789710999,0.06543003022670746,,
4,2109,,,,,0.9931666851043701,0.026769043877720833
4,2109,,,0.9811111092567444,0.060141708701848984,,
5,2531,,,,,0.9918333292007446,0.029836438596248627
5,2531,,,0.9842777848243713,0.05359009653329849,,
6,2953,,,,,0.9925000071525574,0.02709078975021839
6,2953,,,0.9851296544075012,0.04737379774451256,,
7,3375,,,,,0.9913333058357239,0.0305778868496418
7,3375,,,0.9854259490966797,0.04618924856185913,,
8,3797,,,,,0.9933333396911621,0.02330445870757103
8,3797,,,0.9892592430114746,0.0346171073615551,,
9,4219,,,,,0.9940000176429749,0.0214290339499712
9,4219,,,0.990240752696991,0.030391404405236244,,
10,4641,,,,,0.9943333268165588,0.021497923880815506
10,4641,,,0.9909629821777344,0.029437731951475143,,
11,5063,,,,,0.9946666955947876,0.02092396840453148
11,5063,,,0.9913703799247742,0.027271617203950882,,
12,5485,,,,,0.9946666955947876,0.020044535398483276
12,5485,,,0.991518497467041,0.028519826009869576,,
13,5907,,,,,0.9944999814033508,0.019493859261274338
13,5907,,,0.991518497467041,0.026357071474194527,,
14,6329,,,,,0.9946666955947876,0.020675204694271088
14,6329,,,0.9912777543067932,0.026712805032730103,,
15,6330,0.994700014591217,0.01691502518951893,,,,
