model,split,accuracy,recall,specificity,f1,auc_roc,tn,fp,fn,tp
mlp_base,val,0.955474784189005,0.3816793893129771,0.9917874396135266,0.5050505050505051,0.9205074307629899,2053,17,81,50
mlp_base,test,0.9631985461154021,0.46153846153846156,0.9946885562530179,0.5970149253731343,0.9082494521412918,2060,11,70,60
mlp_reg,val,0.9559291231258519,0.35877862595419846,0.993719806763285,0.49214659685863876,0.92539366449091,2057,13,84,47
mlp_reg,test,0.9591094956837801,0.36923076923076925,0.9961371318203767,0.5161290322580645,0.9125171786205104,2063,8,82,48
logreg,val,0.9504770558836892,0.183206106870229,0.9990338164251208,0.3057324840764331,0.8658258656931077,2068,2,107,24
logreg,test,0.9482053611994548,0.15384615384615385,0.9980685659101883,0.2597402597402597,0.8606173160494744,2067,4,110,20
