CC,CN,GDP,POP,URB
MMR,Myanmar,326862397165.7545,54500091.0,16595227.791457063
MNE,Montenegro,21238981036.837402,623525.0,408672.1987772245
MNG,Mongolia,67481100950.45454,3524788.0,2501069.863137205
MOZ,Mozambique,59060293229.57879,34631766.0,12617472.25670575
MRT,Mauritania,38091993637.088554,5169395.0,3133007.920254377
MUS,Mauritius,39665304066.02075,1245779.0,486055.8093622914
MWI,Malawi,40227239746.213425,21655286.0,3739543.8276042743
MYS,Malaysia,1378901065661.0078,35557673.0,27349905.889557853
NAM,Namibia,35411935205.42061,3030131.0,1527452.7671959929
NER,Niger,55414634847.87309,27032412.0,4879280.0398502685
NGA,Nigeria,2114329449409.466,232679478.0,146531221.86001632
NIC,Nicaragua,60231278859.82673,6916140.0,4098701.00111847
NLD,Netherlands,1550563902321.6448,17993485.0,17208906.384119276
NOR,Norway,568581567800.8978,5572279.0,4643345.196690311
NPL,Nepal,170096869228.5426,29651054.0,19798703.52833504
NRU,Nauru,169324927.8222561,11947.0,11947.0
NZL,New Zealand,293726672095.0431,5287500.0,4438172.358580185
OMN,Oman,220452272078.92825,5281538.0,4195866.648047418
PAK,Pakistan,1570963817829.0308,251269164.0,98430767.24811266
PAN,Panama,186806812931.67444,4515577.0,2980093.1873242934
PER,Peru,609160441707.4084,34217848.0,29150620.29073005
PHL,Philippines,1366276178143.4956,115843670.0,64237745.78768925
PNG,Papua New Guinea,51557168062.233315,10576502.0,1629435.109313484
POL,Poland,1874118068301.5564,36559233.0,21924771.961398408
PRE,Pre-demographic dividend,5826982652366.1455,1105951788.0,502558328.38486046
PRI,Puerto Rico (US),160958684251.00244,3203295.0,3019232.0843078275
PRT,Portugal,552699920347.7567,10694681.0,6558854.3620871045
PRY,Paraguay,128353419878.20905,6929153.0,4840862.786866393
PSE,West Bank and Gaza,23119472384.417248,5289152.0,4607888.140458981
PST,Post-demographic dividend,76820635513633.33,1128377826.0,915733392.3805246
QAT,Qatar,360218045926.1748,2857822.0,2838445.657419022
ROU,Romania,934996619902.9266,19051804.0,9938845.63989422
RUS,Russian Federation,6804217160543.051,143533851.0,107811022.17528786
RWA,Rwanda,52904129982.20527,14256567.0,4260570.974764452
SAU,Saudi Arabia,2519570644557.087,35300280.0,29812993.3885896
SDN,Sudan,106740731277.05812,50448963.0,17590192.05860474
SEN,Senegal,93817059650.58685,18501984.0,10219907.026007535
SGP,Singapore,909690217412.8839,6036860.0,6036860.0
SLB,Solomon Islands,2191267088.7096686,819198.0,251180.18763577222
SLE,Sierra Leone,30439844906.477425,8642022.0,3920252.9855074678
SLV,El Salvador,84069963659.78374,6338193.0,4757922.428794421
SOM,"Somalia, Fed. Rep.",30451988233.10319,19009151.0,10382350.905801915
SRB,Serbia,216248341373.28323,6586476.0,4108841.519384497
STP,Sao Tome and Principe,1470181828.8854299,235536.0,162216.03864466684
SUR,Suriname,13830929890.718876,634431.0,417228.3811058147
SVK,Slovak Republic,260976957698.99783,5422069.0,2884105.3320478844
SVN,Slovenia,121658286418.11113,2127400.0,1186190.8168627478
SWE,Sweden,759379823414.0924,10569709.0,9391817.969132861
SWZ,Eswatini,14664308920.882366,1242822.0,326238.86261838424
SXM,Sint Maarten (Dutch part),2330871298.054445,43350.0,43350.0
SYC,Seychelles,4033634641.4915924,121354.0,54961.05943006121
