title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Superman III,1983,,125 min,Richard Lester,5.0,"Entrepreneur Ross Webster teams up with a computer genius in order to realise his own evil intentions. When Superman obstructs his plans, he decides to destroy him.","Christopher Reeve, Richard Pryor, Margot Kidder"
Superman IV: The Quest for Peace,1987,,90 min,Sidney J. Furie,3.8,"With the world on the brink of a nuclear war, Superman takes it upon himself to destroy all nuclear weapons. However, Lex Luthor creates Nuclear Man, a force strong enough to take down Superman.","Christopher Reeve, Gene Hackman, Margot Kidder"
Superman Returns,2006,,154 min,Bryan Singer,6.1,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.","Brandon Routh, Kate Bosworth, Kevin Spacey"
Man of Steel,2013,,143 min,Zack Snyder,7.1,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,"Henry Cavill, Amy Adams, Michael Shannon"
Batman Begins,2005,,140 min,Christopher Nolan,8.2,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","Christian Bale, Michael Caine, Ken Watanabe"
The Dark Knight,2008,,152 min,Christopher Nolan,9.1,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","Christian Bale, Heath Ledger, Aaron Eckhart"
The Dark Knight Rises,2012,,164 min,Christopher Nolan,8.4,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","Christian Bale, Tom Hardy, Anne Hathaway"
Batman v Superman: Dawn of Justice,2016,,151 min,Zack Snyder,6.4,Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.,"Ben Affleck, Henry Cavill, Amy Adams"
Batman,1989,,126 min,Tim Burton,7.5,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","Michael Keaton, Jack Nicholson, Kim Basinger"
Batman Returns,1992,,126 min,Tim Burton,7.1,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.","Michael Keaton, Danny DeVito, Michelle Pfeiffer"
Batman Forever,1995,,121 min,Joel Schumacher,5.5,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.","Val Kilmer, Tommy Lee Jones, Jim Carrey"
Batman & Robin,1997,,125 min,Joel Schumacher,3.8,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell"
Spider-Man,2002,,121 min,Sam Raimi,7.4,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.","Tobey Maguire, Kirsten Dunst, Willem Dafoe"
Spider-Man 2,2004,,127 min,Sam Raimi,7.5,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,"Tobey Maguire, Kirsten Dunst, Alfred Molina"
Spider-Man 3,2007,,139 min,Sam Raimi,6.3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","Tobey Maguire, Kirsten Dunst, Topher Grace"
The Amazing Spider-Man,2012,,136 min,Marc Webb,6.9,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","Andrew Garfield, Emma Stone, Rhys Ifans"
The Amazing Spider-Man 2,2014,,142 min,Marc Webb,6.6,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","Andrew Garfield, Emma Stone, Jamie Foxx"
Spider-Man: Homecoming,2017,,133 min,Jon Watts,7.4,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,"Tom Holland, Michael Keaton, Robert Downey Jr."
Spider-Man: Far From Home,2019,,129 min,Jon Watts,7.3,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal"
Spider-Man: No Way Home,2021,,148 min,Jon Watts,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.","Tom Holland, Zendaya, Benedict Cumberbatch"
X-Men,2000,,104 min,Bryan Singer,7.3,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","Patrick Stewart, Hugh Jackman, Ian McKellen"
X2: X-Men United,2003,,134 min,Bryan Singer,7.4,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","Patrick Stewart, Hugh Jackman, Halle Berry"
X-Men: The Last Stand,2006,,104 min,Brett Ratner,6.6,"The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.","Patrick Stewart, Hugh Jackman, Halle Berry"
X-Men Origins: Wolverine,2009,,107 min,Gavin Hood,6.5,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","Hugh Jackman, Liev Schreiber, Ryan Reynolds"
The Wolverine,2013,,126 min,James Mangold,6.7,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.","Hugh Jackman, Will Yun Lee, Tao Okamoto"
X-Men: Days of Future Past,2014,,132 min,Bryan Singer,7.9,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"Patrick Stewart, Ian McKellen, Hugh Jackman"
X-Men: Apocalypse,2016,,144 min,Bryan Singer,6.8,"In the 1980s, the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive by bringing destruction to the world.","James McAvoy, Michael Fassbender, Jennifer Lawrence"
X-Men: Dark Phoenix,2019,,113 min,Simon Kinberg,5.7,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to have to decide if her life is worth more than all of humanity.","James McAvoy, Michael Fassbender, Jennifer Lawrence"
Deadpool,2016,,108 min,Tim Miller,8.0,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.","Ryan Reynolds, Morena Baccarin, T.J. Miller"
Deadpool 2,2018,,119 min,David Leitch,7.6,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.","Ryan Reynolds, Josh Brolin, Morena Baccarin"
Logan,2017,,137 min,James Mangold,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Hugh Jackman, Patrick Stewart, Dafne Keen"
Ant-Man,2015,,117 min,Peyton Reed,7.2,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.","Paul Rudd, Michael Douglas, Corey Stoll"
Ant-Man and the Wasp,2018,,118 min,Peyton Reed,7.0,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","Paul Rudd, Evangeline Lilly, Michael Peña"
Black Panther,2018,,134 min,Ryan Coogler,7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o"
Black Widow,2021,,134 min,Cate Shortland,6.6,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"Scarlett Johansson, Florence Pugh, David Harbour"
Doctor Strange,2016,,115 min,Scott Derrickson,7.5,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams"
Thor,2011,,115 min,Kenneth Branagh,7.0,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","Chris Hemsworth, Anthony Hopkins, Natalie Portman"
Thor: The Dark World,2013,,112 min,Alan Taylor,6.7,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.","Chris Hemsworth, Natalie Portman, Tom Hiddleston"
Thor: Ragnarok,2017,,130 min,Taika Waititi,7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Chris Hemsworth, Tom Hiddleston, Cate Blanchett"
Thor: Love and Thunder,2022,,118 min,Taika Waititi,6.1,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.","Chris Hemsworth, Natalie Portman, Christian Bale"
Iron Man,2008,,126 min,Jon Favreau,7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard"
Iron Man 2,2010,,124 min,Jon Favreau,6.9,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow"
Iron Man 3,2013,,130 min,Shane Black,7.1,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow"
Captain America: The First Avenger,2011,,124 min,Joe Johnston,6.9,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organiza...","Chris Evans, Hugo Weaving, Samuel L. Jackson"
Captain America: The Winter Soldier,2014,,136 min,"Anthony Russo, Joe Russo",7.7,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","Chris Evans, Samuel L. Jackson, Scarlett Johansson"
Captain America: Civil War,2016,,147 min,"Anthony Russo, Joe Russo",7.8,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,"Chris Evans, Robert Downey Jr., Scarlett Johansson"
The Avengers,2012,,143 min,Joss Whedon,8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"Robert Downey Jr., Chris Evans, Scarlett Johansson"
Avengers: Age of Ultron,2015,,141 min,Joss Whedon,7.3,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Robert Downey Jr., Chris Evans, Mark Ruffalo"
Avengers: Infinity War,2018,,149 min,"Anthony Russo, Joe Russo",8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
Avengers: Endgame,2019,,181 min,"Anthony Russo, Joe Russo",8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Robert Downey Jr., Chris Evans, Mark Ruffalo"
Guardians of the Galaxy,2014,,121 min,James Gunn,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Chris Pratt, Vin Diesel, Bradley Cooper"
Guardians of the Galaxy Vol. 2,2017,,136 min,James Gunn,7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.","Chris Pratt, Zoe Saldaña, Dave Bautista"
Guardians of the Galaxy Vol. 3,2023,,150 min,James Gunn,7.9,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Chris Pratt, Chukwudi Iwuji, Bradley Cooper"
Fantastic Four,2005,,106 min,Tim Story,5.7,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.","Ioan Gruffudd, Michael Chiklis, Chris Evans"
Fantastic Four: Rise of the Silver Surfer,2007,,92 min,Tim Story,5.6,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,"Ioan Gruffudd, Jessica Alba, Chris Evans"
Daredevil,2003,,103 min,Mark Steven Johnson,5.3,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,"Ben Affleck, Jennifer Garner, Colin Farrell"
Elektra,2005,,97 min,Rob Bowman,4.7,An assassin's change of heart leads her into a war against an evil crime syndicate.,"Jennifer Garner, Goran Visnjic, Will Yun Lee"
Ghost Rider,2007,,110 min,Mark Steven Johnson,5.3,A motorcycle stuntman who sold his soul becomes a supernatural agent of vengeance.,"Nicolas Cage, Eva Mendes, Sam Elliott"
Ghost Rider: Spirit of Vengeance,2012,,96 min,"Mark Neveldine, Brian Taylor",4.4,"Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","Nicolas Cage, Ciarán Hinds, Idris Elba"
Blade,1998,,120 min,Stephen Norrington,7.1,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.","Wesley Snipes, Stephen Dorff, Kris Kristofferson"
Blade II,2002,,117 min,Guillermo del Toro,6.7,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","Wesley Snipes, Kris Kristofferson, Ron Perlman"
Blade: Trinity,2004,,113 min,David S. Goyer,5.8,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.","Wesley Snipes, Kris Kristofferson, Dominic Purcell"
The Punisher,2004,,124 min,Jonathan Hensleigh,6.4,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,"Thomas Jane, John Travolta, Samantha Mathis"
War Zone,2008,,77 min,Maggie Hadleigh-West,6.5,"Bertolt Brecht lives! Maggie Hadleigh-West walks crowded urban streets carrying a video camera and microphone, trailed by one or two women also with cameras. Whenever a man harasses her, with ogling or words, she turns the camera ...",Maggie Hadleigh-West
Hulk,2003,,138 min,Ang Lee,5.7,"Bruce Banner, a genetics researcher with a tragic past, suffers a lab accident that makes him transform into a raging, giant green monster when angered, making him a target of forces seeking to abuse his power.","Eric Bana, Jennifer Connelly, Sam Elliott"
The Incredible Hulk,2008,,112 min,Louis Leterrier,6.6,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","Edward Norton, Liv Tyler, Tim Roth"
Aquaman,2018,,143 min,James Wan,6.8,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.","Jason Momoa, Amber Heard, Willem Dafoe"
Wonder Woman,2017,,141 min,Patty Jenkins,7.3,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","Gal Gadot, Chris Pine, Robin Wright"
Wonder Woman 1984,2020,,151 min,Patty Jenkins,5.3,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.","Gal Gadot, Chris Pine, Kristen Wiig"
The Flash,2023,,144 min,Andy Muschietti,6.6,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","Ezra Miller, Michael Keaton, Sasha Calle"
Shazam,2019,,6 min,Royston Innes,7.9,A father teaches his son about the harsh realities of being a black man in a new and inventive way.,"Roman Dior Degeddingseze, Christopher Mychael Watson"
Black Adam,2022,,125 min,Jaume Collet-Serra,6.1,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","Dwayne Johnson, Aldis Hodge, Pierce Brosnan"
Hellboy,2004,,122 min,Guillermo del Toro,6.9,"A demon raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.","Ron Perlman, Doug Jones, Selma Blair"
Hellboy II: The Golden Army,2008,,120 min,Guillermo del Toro,7.0,A prince of the mythical world starts a rebellion against humanity in order to rule the Earth. Hellboy and his team must fight to stop him from locating the all-powerful Golden Army.,"Ron Perlman, Selma Blair, Doug Jones"
Spawn,1997,,96 min,Mark A.Z. Dippé,5.2,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.","Michael Jai White, John Leguizamo, Martin Sheen"
Constantine,2005,,121 min,Francis Lawrence,7.0,"Detective Angela approaches Constantine, a demon hunter, to help her investigate her twin sister's mysterious death. As he digs deeper, he realizes that demons are trying to enter the human world.","Keanu Reeves, Rachel Weisz, Djimon Hounsou"
Steel,1997,,97 min,Kenneth Johnson,3.0,A scientist for the military turns himself into a cartoon-like superhero when a version of one of his own weapons is being used against enemies.,"Shaquille O'Neal, Annabeth Gish, Judd Nelson"
Meteor Man,1993,,N/A,Bruce Kaufman,N/A,Party going campers are interrupted by an unwavering park ranger. Unexpectedly a visitor with no name arrives and teaches everyone how to have good time before re-uniting with the family he has always been searching for.,N/A
Blankman,1994,,92 min,Mike Binder,5.1,A simpleton inventor becomes a superhero with a bulletproof costume and a low budget.,"Damon Wayans, David Alan Grier, Robin Givens"
Darkman,1990,,96 min,Sam Raimi,6.4,A brilliant scientist left for dead returns to exact revenge on the people who burned him alive.,"Liam Neeson, Frances McDormand, Colin Friels"
The Mask,1994,,101 min,Chuck Russell,7.0,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,"Jim Carrey, Cameron Diaz, Peter Riegert"
Dick Tracy,1990,,105 min,Warren Beatty,6.2,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,"Warren Beatty, Madonna, Al Pacino"
The Rocketeer,1991,,108 min,Joe Johnston,6.6,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,"Billy Campbell, Jennifer Connelly, Alan Arkin"
Powder,1995,,111 min,Victor Salva,6.6,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen"
Mystery Men,1999,,121 min,Kinka Usher,6.1,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,"Ben Stiller, Janeane Garofalo, William H. Macy"
Zoom,2006,,83 min,Peter Hewitt,4.4,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,"Tim Allen, Courteney Cox, Chevy Chase"
Hancock,2008,,92 min,Peter Berg,6.4,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"Will Smith, Charlize Theron, Jason Bateman"
Kick-Ass,2010,,117 min,Matthew Vaughn,7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz"
Kick-Ass 2,2013,,103 min,Jeff Wadlow,6.5,"Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders, but Red Mist leads his own group of evil super-villains to get revenge, kill Kick-Ass, and destroy everything he stands for.","Aaron Taylor-Johnson, Chloë Grace Moretz, Christopher Mintz-Plasse"
Watchmen,2009,,162 min,Zack Snyder,7.6,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.","Malin Akerman, Billy Crudup, Matthew Goode"
V for Vendetta,2005,,132 min,James McTeigue,8.1,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Hugo Weaving, Natalie Portman, Rupert Graves"
The League of Extraordinary Gentlemen,2003,,110 min,Stephen Norrington,5.8,"In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.","Sean Connery, Stuart Townsend, Peta Wilson"
Barbarella,1968,,98 min,Roger Vadim,5.9,"In the 41st century, an astronaut seeks to stop an evil scientist who threatens to unleash a powerful weapon upon the galaxy, partaking in sexy misadventures along the way.","Jane Fonda, John Phillip Law, Anita Pallenberg"
Philadelphia,1993,,125 min,Jonathan Demme,7.7,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small-time lawyer as the only willing advocate for a wrongful dismissal suit.","Tom Hanks, Denzel Washington, Roberta Maxwell"
The Green Mile,1999,,189 min,Frank Darabont,8.6,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,"Tom Hanks, Michael Clarke Duncan, David Morse"
A Beautiful Mind,2001,,135 min,Ron Howard,8.2,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.","Russell Crowe, Ed Harris, Jennifer Connelly"
The Pursuit of Happyness,2006,,117 min,Gabriele Muccino,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Will Smith, Thandiwe Newton, Jaden Smith"
Life is Beautiful,1997,,116 min,Roberto Benigni,8.6,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
Schindler's List,1993,,195 min,Steven Spielberg,9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Liam Neeson, Ralph Fiennes, Ben Kingsley"
American Beauty,1999,,122 min,Sam Mendes,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Kevin Spacey, Annette Bening, Thora Birch"
Crash,2004,,112 min,Paul Haggis,7.7,Racial tensions collide in a collection of intertwined stories involving residents of Los Angeles.,"Don Cheadle, Sandra Bullock, Thandiwe Newton"
Slumdog Millionaire,2008,,120 min,"Danny Boyle, Loveleen Tandan",8.0,"When a teenager from the slums of Mumbai is interrogated about his suspicious performance on a quiz show, he revisits various events from his past to explain how he knew all the answers.","Dev Patel, Freida Pinto, Saurabh Shukla"
The Irishman,2019,,209 min,Martin Scorsese,7.8,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.","Robert De Niro, Al Pacino, Joe Pesci"
Once Upon a Time in Hollywood,2019,,N/A,Vladislav Kozlov,N/A,N/A,N/A
Parasite,2019,,132 min,Bong Joon Ho,8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
Joker,2019,,122 min,Todd Phillips,8.3,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.","Joaquin Phoenix, Robert De Niro, Zazie Beetz"
The Wolf of Wall Street,2013,,180 min,Martin Scorsese,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Leonardo DiCaprio, Jonah Hill, Margot Robbie"
The Social Network,2010,,120 min,David Fincher,7.8,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.","Jesse Eisenberg, Andrew Garfield, Justin Timberlake"
Moneyball,2011,,133 min,Bennett Miller,7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"Brad Pitt, Robin Wright, Jonah Hill"
Argo,2012,,120 min,Ben Affleck,7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","Ben Affleck, Bryan Cranston, John Goodman"
Lincoln,2012,,150 min,Steven Spielberg,7.3,"As the Civil War rages on, U.S President Abraham Lincoln struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on his decision to emancipate the slaves.","Daniel Day-Lewis, Sally Field, David Strathairn"
La La Land,2016,,128 min,Damien Chazelle,8.0,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.","Ryan Gosling, Emma Stone, Rosemarie DeWitt"
Hidden Figures,2016,,127 min,Theodore Melfi,7.8,Three female African-American mathematicians play a pivotal role in astronaut John Glenn's launch into orbit while dealing with racial and gender discrimination.,"Taraji P. Henson, Octavia Spencer, Janelle Monáe"
Moonlight,2016,,111 min,Barry Jenkins,7.4,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","Mahershala Ali, Naomie Harris, Trevante Rhodes"
Manchester by the Sea,2016,,137 min,Kenneth Lonergan,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,"Casey Affleck, Michelle Williams, Kyle Chandler"
Lion,2016,,118 min,Garth Davis,8.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","Dev Patel, Nicole Kidman, Rooney Mara"
Spotlight,2015,,129 min,Tom McCarthy,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Mark Ruffalo, Michael Keaton, Rachel McAdams"
Brooklyn,2015,,117 min,John Crowley,7.5,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","Saoirse Ronan, Hugh Gormley, Brid Brennan"
Room,2015,,118 min,Lenny Abrahamson,8.1,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Brie Larson, Jacob Tremblay, Sean Bridgers"
Birdman,2014,,13 min,Guy Bolongaro,5.1,"A portrait of Robert, a troubled but poetic soul struggling with his purgatorial existence in a hackney scrapyard.",Caroline Christl Long
Whiplash,2014,,106 min,Damien Chazelle,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Miles Teller, J.K. Simmons, Melissa Benoist"
The Grand Budapest Hotel,2014,,99 min,Wes Anderson,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
Boyhood,2014,,165 min,Richard Linklater,7.9,"The life of Mason, from early childhood to his arrival at college.","Ellar Coltrane, Patricia Arquette, Ethan Hawke"
