title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
American Beauty,1999,,122 min,Sam Mendes,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Kevin Spacey, Annette Bening, Thora Birch"
The Shining,1980,,146 min,Stanley Kubrick,8.4,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.","Jack Nicholson, Shelley Duvall, Danny Lloyd"
Psycho,1960,,109 min,Alfred Hitchcock,8.5,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,"Anthony Perkins, Janet Leigh, Vera Miles"
The Exorcist,1973,,122 min,William Friedkin,8.1,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.","Ellen Burstyn, Max von Sydow, Linda Blair"
Jaws,1975,,124 min,Steven Spielberg,8.1,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.","Roy Scheider, Robert Shaw, Richard Dreyfuss"
Alien,1979,,117 min,Ridley Scott,8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.","Sigourney Weaver, Tom Skerritt, John Hurt"
Blade Runner,1982,,117 min,Ridley Scott,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Harrison Ford, Rutger Hauer, Sean Young"
The Terminator,1984,,107 min,James Cameron,8.1,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
2001: A Space Odyssey,1968,,149 min,Stanley Kubrick,8.3,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.","Keir Dullea, Gary Lockwood, William Sylvester"
Vertigo,1958,,128 min,Alfred Hitchcock,8.2,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","James Stewart, Kim Novak, Barbara Bel Geddes"
